birth_place,discipline,Count
BEREZNIKI,Figure Skating,2
HAMILTON,Sailing,2
BERGEN,Handball,2
BERGEN,Speed Skating,2
KUTCHAN,Skateboarding,2
"MADISON, CT",Figure Skating,2
CORDOBA,Hockey,2
IMPERATRIZ,Skateboarding,2
BERLIN,Hockey,2
COUDEKERQUE-BRANCHE,Volleyball,2
COURCOURONNES,Handball,2
"HAMPSTEAD, MD",Triathlon,2
"COWANSVILLE, QC",Snowboard,2
CREMONA,Rowing,2
KITAKYUSHU,Table Tennis,2
CREWE,Swimming,2
CREWE,Trampoline Gymnastics,2
LES ABYMES,Fencing,2
CUENCA,Athletics,2
"BETHLEHEM, PA",Athletics,2
"CULCAIRN, NSW",Equestrian,2
CULIACAN,Football,2
KITAMI CITY,Curling,2
"BIBAI, HOKKAIDO",Judo,2
"LOS ANGELES, CA",Athletics,2
CURITIBA,Volleyball,2
GALWAY,Rowing,2
CZECHOWICE-DZIEDZICE,Canoe Sprint,2
KAMPEN,Cycling Track,2
"BIRMINGHAM, AL",Baseball/Softball,2
DAEGU,Fencing,2
BISHKEK,Wrestling,2
BIYSK,Shooting,2
KYIV,Wrestling,2
GATCHINA,Artistic Swimming,2
KOBE,Figure Skating,2
BLENHEIM,Rowing,2
BLUDENZ,Luge,2
DAGESTAN,Wrestling,2
GDANSK,Rowing,2
"DALLAS, TX",Athletics,2
GELDROP,Equestrian,2
"DANBURY, CT",Snowboard,2
BOLTON,Cycling Track,2
HARLOW,Cycling Track,2
KYOTO,Judo,2
KANYE,Athletics,2
DASSOW,Cycling Track,2
DATTELN,Canoe Sprint,2
"NEWARK, NJ",Basketball,2
"NEWARK, NJ",Volleyball,2
NEWHAM,Athletics,2
"MIAMI, FL",Baseball/Softball,2
MILAN,Alpine Skiing,2
NINGBO,Shooting,2
NINGBO,Swimming,2
NIRASAKI,Wrestling,2
NIS,Water Polo,2
NITRA,Ice Hockey,2
MILNGAVIE,Cycling Track,2
